"Identifier","Pack"
"CLB_Shop01_EndA_Gates_Door","CLB_ASSETS_Buildings"
"CLB_Shop01_EndB_Closed","CLB_ASSETS_Buildings"
"CLB_Shop01_EndB_Door","CLB_ASSETS_Buildings"
"CLB_Shop01_EndB_Gates","CLB_ASSETS_Buildings"
"CLB_Shop01_EndB_Gates_Door","CLB_ASSETS_Buildings"
"CLB_Shop01_GateA","CLB_ASSETS_Buildings"
"CLB_Shop01_Middle","CLB_ASSETS_Buildings"
"CLB_Shop01_Middle_Gate","CLB_ASSETS_Buildings"
"CLB_Shop01_PreAssembled01","CLB_ASSETS_Buildings"
"CLB_Shop02","CLB_ASSETS_Buildings"
"CLB_Shop02_Gate","CLB_ASSETS_Buildings"
"CLB_Shop02_internal_Gate","CLB_ASSETS_Buildings"
"CLB_Silo01","CLB_ASSETS_01"
"CLB_Steel-Bar01","CLB_ASSETS_01"
"CLB_StrawBale01","CLB_ASSETS_01"
"CLB_StrawBale-Stack01","CLB_ASSETS_01"
"CLB_Tank01","CLB_ASSETS_01"
"CLB_Tank02","CLB_ASSETS_01"
"CLB_Text_AppTex","CLB_ASSETS_Text"
"CLB_Text_BrySteElec","CLB_ASSETS_Text"
"CLB_Text_MidsBakCo","CLB_ASSETS_Text"
"CLB_Text_MillElec","CLB_ASSETS_Text"
"CLB_Text_MurTex","CLB_ASSETS_Text"
"CLB_Text_RagCabCo","CLB_ASSETS_Text"
"CLB_Text_SmoMounSup","CLB_ASSETS_Text"
"CLB_Text_SoutChem","CLB_ASSETS_Text"
"CLB_Text_SteamShop","CLB_ASSETS_Text"
"CLB_Text_TucRivFurCo","CLB_ASSETS_Text"
"CLB_Text_Whittier","CLB_ASSETS_Text"
"CLB_Text_Whittier&WP","CLB_ASSETS_Text"
"CLB_Text_WP&Yukon","CLB_ASSETS_Text"
"CLB_Text_WPRepairShops","CLB_ASSETS_Text"
"CLB_Truck01","CLB_ASSETS_01"
"CLB_Truck01_blue","CLB_ASSETS_01"
"CLB_Truck01_red","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Down45_Q","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Down45_S","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Down90_Q","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Down90_S","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Flat45_Q","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Flat45_S","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Flat90_Q","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Flat90_S","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Up45_Q","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Up45_S","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Up90_Q","CLB_ASSETS_01"
"CLB_TrussPipes01_Corner_Up90_S","CLB_ASSETS_01"
"CLB_TrussPipes01_Straight2_Q","CLB_ASSETS_01"
"CLB_TrussPipes01_Straight2_S","CLB_ASSETS_01"
"CLB_TrussPipes01_Straight4_Q","CLB_ASSETS_01"
"CLB_TrussPipes01_Straight4_S","CLB_ASSETS_01"
"CLB_TrussPipes01_Straight8_Q","CLB_ASSETS_01"
"CLB_TrussPipes01_Straight8_S","CLB_ASSETS_01"
"CLB_Welder01","CLB_ASSETS_deko"
"CLB_Window01","CLB_ASSETS_01"
"fbtf1","CLB_ASSETS_colliery"
"fbtf2","CLB_ASSETS_colliery"
"fbtf3","CLB_ASSETS_colliery"
"fbtf4","CLB_ASSETS_colliery"
"fbtf5","CLB_ASSETS_colliery"
"fbtf6","CLB_ASSETS_colliery"
"fire","aspenfire"
"ltrtr","CLB_ASSETS_colliery"
"MaterialBackpack","CLB_ASSETS_01"
"MaterialBackpack","CLB_ASSETS_Buildings"
"Tree 107","aspentrees"
"Tree 11364","aspentrees"
"Tree 12762","aspentrees"
"Tree 14733","aspentrees"
"Tree 16018","aspentrees"
"Tree 18185","aspentrees"
"Tree 2558","aspentrees"
"Tree 2853","aspentrees"
"Tree 3172","aspentrees"
"Tree 345","aspentrees"
"Tree 436","aspentrees"
"Tree 491","aspentrees"
"Tree 510","aspentrees"
"Tree 5194","aspentrees"
"Tree 5639","aspentrees"
"Tree 5857","aspentrees"
"Tree 7071","aspentrees"
"Tree 7339","aspentrees"
"Tree 7733","aspentrees"
"yanrmb1","CLB_ASSETS_colliery"
"yanrmb2","CLB_ASSETS_colliery"
"yanrmb3","CLB_ASSETS_colliery"
"yanrmb4","CLB_ASSETS_colliery"
"yanrmb5","CLB_ASSETS_colliery"
